brand,series,model,year,col,size,cpu,gen,ram,slots,max,sold,w11,tag,st_25sata,st_msata,st_m2sata,st_m2nvme,st_ide,st_emmc,st_m2len,st_note,price,price_note,os,note,aliases,pwr,bat,bat_note
dell,,Pro Plus 16,2025,15,16″,Intel Core Ultra 200V (Lunar Lake) / 200U,ddr5,LPDDR5x-8533 on-package (200V) or DDR5-5600 SODIMM (200U),soldered (200V) or 2× SODIMM (200U),64 GB (200U) / 32 GB (200V),1,1,NVMe,,,,1,,,,2230 or 2280 depending on config,$700–1100,Est. 2025 rename — still in warranty channel; eBay runs barely below refurb retail.,,2025 rename: 'Dell Pro 16 Plus' (PB16250) replaces Latitude 5xxx/7xxx naming. ⚠ RAM chaos under ONE name: 200V = soldered on-package (max 32); 200U/100U = 2× SODIMM (max 64). An AMD sibling sub-model exists as well — check sub-model code AND CPU before buying.,PB16250 AMD,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). 💡 Buying tip: used OEM ~$10–20, but for USB-C any solid-brand PD charger (Anker etc.) is equally fine — the standard does the work. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,Pro Plus 14,2025,14,14″,Intel Core Ultra 200V / 200U (PB14250) · AMD Ryzen AI PRO 300 (PB14255),ddr5,LPDDR5x-8533 on-package (200V) or DDR5-5600 SODIMM (200U),soldered (200V) or 2× SODIMM (200U),64 GB (200U) / 32 GB (200V),1,1,NVMe,,,,1,,,,2230 or 2280 depending on config,$700–1100,Est. 2025 rename — still in warranty channel; eBay runs barely below refurb retail.,,2025 rename: 'Dell Pro 14 Plus' (PB14250). Copilot+ PC. ⚠ RAM chaos under ONE name: Intel PB14250 with 200V = soldered on-package (max 32); with 200U = 2× SODIMM (max 64); AMD PB14255 (Ryzen AI PRO 300 / Ryzen 200) = soldered LPDDR5x again. Check the sub-model code AND CPU before buying. Dell's Snapdragon laptops stayed Latitude (5455/7455).,PB14250 PB14255 AMD Ryzen AI,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). 💡 Buying tip: used OEM ~$10–20, but for USB-C any solid-brand PD charger (Anker etc.) is equally fine — the standard does the work. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,Pro Plus 13,2025,13,13″,Intel Core Ultra 200V (Lunar Lake),ddr5,LPDDR5x-8533 on-package,"soldered, no slots",32 GB,1,1,NVMe,,,,1,,,2230,,$700–1100,Est. 2025 rename — still in warranty channel; eBay runs barely below refurb retail.,,2025 rename: 'Dell Pro 13 Plus'. 13″ is 200V (Lunar Lake) only — always soldered.,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). 💡 Buying tip: used OEM ~$10–20, but for USB-C any solid-brand PD charger (Anker etc.) is equally fine — the standard does the work. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,5550,2024,15,15.6″,Intel 13th gen / Core Ultra (Meteor Lake),ddr5,DDR5-5200/5600 SODIMM,2× SODIMM,64 GB,,1,NVMe,,,,1,,,2230,PCIe Gen 4,$360–520,Est. (calibrated to Jul 2026 sold data). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.,,⚠ Name reused — a 2015 Latitude E5550 also exists (sold as '5550'). Check CPU gen in the listing.,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). 💡 Buying tip: used OEM ~$10–20, but for USB-C any solid-brand PD charger (Anker etc.) is equally fine — the standard does the work. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,5450,2024,14,14″,Intel 13th gen / Core Ultra (Meteor Lake),ddr5,DDR5-5200/5600 SODIMM,2× SODIMM,64 GB,,1,NVMe,,,,1,,,2230,PCIe Gen 4,$360–520,Est. (calibrated to Jul 2026 sold data). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.,,⚠ Name reused — 2015 Latitude E5450 also sold as '5450'. Check CPU gen.,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). 💡 Buying tip: used OEM ~$10–20, but for USB-C any solid-brand PD charger (Anker etc.) is equally fine — the standard does the work. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,5350,2024,13,13.3″,Intel Core Ultra 5/7 (Meteor Lake),ddr5,LPDDR5x-6400,"soldered, no slots",32 GB,1,1,NVMe,,,,1,,,2230,PCIe Gen 4,$360–520,Est. (calibrated to Jul 2026 sold data). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.,,Also sold as 2-in-1.,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). 💡 Buying tip: used OEM ~$10–20, but for USB-C any solid-brand PD charger (Anker etc.) is equally fine — the standard does the work. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,7350,2024,13,13.3″,Intel Core Ultra (Meteor Lake),ddr5,LPDDR5x-6400,"soldered, no slots",64 GB,1,1,NVMe,,,,1,,,2230,PCIe Gen 4,$405–580,Est. (calibrated to Jul 2026 sold data). Premium build resells well; carbon/alu lids scratch — grade A gets a premium.,,Premium (7000) ultralight 13.3″. Also exists as 7350 Detachable.,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). 💡 Buying tip: used OEM ~$10–20, but for USB-C any solid-brand PD charger (Anker etc.) is equally fine — the standard does the work. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,5540,2023,15,15.6″,Intel 13th gen (Raptor Lake),ddr4,DDR4-3200 SODIMM,2× SODIMM,64 GB,,1,NVMe,,,,1,,,,2230 + 2280 slots,$250–425,"Real eBay sold IQR, Jul 2026 (n=41, median $336). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). 💡 Buying tip: used OEM ~$10–20, but for USB-C any solid-brand PD charger (Anker etc.) is equally fine — the standard does the work. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,5440,2023,14,14″,Intel 13th gen (Raptor Lake),ddr4,DDR4-3200 SODIMM,2× SODIMM,64 GB,,1,NVMe,,,,1,,,2230,2280 on some configs,$250–349,"Real eBay sold IQR, Jul 2026 (n=46, median $281). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). 💡 Buying tip: used OEM ~$10–20, but for USB-C any solid-brand PD charger (Anker etc.) is equally fine — the standard does the work. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,5340,2023,13,13.3″,Intel 13th gen (Raptor Lake),ddr5,LPDDR5-4800,"soldered, no slots",32 GB,1,1,NVMe,,,,1,,,2230,,$247–400,"Real eBay sold IQR, Jul 2026 (n=47, median $330). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,Also sold as 2-in-1.,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). 💡 Buying tip: used OEM ~$10–20, but for USB-C any solid-brand PD charger (Anker etc.) is equally fine — the standard does the work. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
